Date,Security Code,ISIN No,Issuer Name,Coupon(%),Maturity Date,LTP,Weighted Average- Price,Weighted Average- Yield,Turnover in Lakhs,No.Of Trades,
28 May 2020,680NL27,INE848E07BK0,NHPC LIMITED,6.8000,23/04/2027,101.0487,101.0500,6.6000,1000.00,2,,,
28 May 2020,689NL30,INE848E07BI4,NHPC LIMITED,6.8900,11/03/2030,100.5633,97.8500,7.2000,200.00,2,,,
28 May 2020,689NL29,INE848E07BH6,NHPC LIMITED,6.8900,09/03/2029,100.5161,98.0000,7.2000,200.00,2,,,
28 May 2020,689NL28,INE848E07BG8,NHPC LIMITED,6.8900,10/03/2028,100.4656,98.1500,7.2000,200.00,2,,,
28 May 2020,689NL27,INE848E07BE3,NHPC LIMITED,6.8900,11/03/2027,100.4232,98.3400,7.2000,200.00,2,,,
28 May 2020,689NL26,INE848E07BD5,NHPC LIMITED,6.8900,11/03/2026,100.3656,101.2000,6.6300,4200.00,5,,,
14 May 2020,713NHPC30,INE848E07BC7,NHPC LIMITED,7.1300,11/02/2030,100.2400,100.0200,7.1200,1300.00,7,,,
14 May 2020,713NHPC29,INE848E07BB9,NHPC LIMITED,7.1300,09/02/2029,100.2400,100.0200,7.1200,1300.00,7,,,
14 May 2020,713NHPC28,INE848E07BA1,NHPC LIMITED,7.1300,11/02/2028,100.2400,100.0200,7.1200,1300.00,7,,,
14 May 2020,713NHPC27,INE848E07AZ0,NHPC LIMITED,7.1300,11/02/2027,100.2400,100.0200,7.1200,1300.00,7,,,
14 May 2020,713NHPC26,INE848E07AY3,NHPC LIMITED,7.1300,11/02/2026,100.2400,101.6400,6.7800,4800.00,8,,,
07 Feb 2020,738NHPC26,INE848E07AT3,NHPC LIMITED,7.3800,03/01/2026,102.1609,102.1600,6.9100,2500.00,3,,,
17 Apr 2020,865NHPC29,INE848E07AN6,NHPC LIMITED,8.6500,08/02/2029,108.4558,108.4600,7.3000,1000.00,2,,,
04 May 2020,854NHPC28,INE848E07526,NHPC LIMITED,8.5400,02/11/2028,121.4100,116.6700,6.1400,658.54,7,,,
29 Apr 2020,874APPFC22,INE847E09029,ANDHRA PRADESH POWER FINANCE CORPORATION LIMITED,8.7400,15/11/2022,98.8000,98.8000,9.5000,50.00,1,,,
13 Mar 2020,997APPFCL24,INE847E08DM2,ANDHRA PRADESH POWER FINANCE CORPORATION LIMITED,9.9700,30/01/2024,101.9727,101.2900,9.5600,20.00,2,,,
25 Feb 2020,1690SCN20,INE836B08020,SATIN CREDITCARE NETWORK LTD,16.9000,20/09/2020,100.0000,100.0000,17.3500,500.00,1,,,
04 Feb 2020,850ABHF27,INE831R08068,ADITYA BIRLA HOUSING FINANCE LIMITED,8.5000,01/06/2027,99.9527,99.9500,8.4900,20.00,1,,,
28 Feb 2020,00IIDL21,INE821I07011,IRB INFRASTRUCTURE DEVELOPERS LTD,0.0000,26/12/2021,100.0000,100.0000,11.7400,70000.00,1,,,
26 May 2020,875THDC29,INE812V07021,THDC INDIA LIMITED,8.7500,06/09/2029,105.8815,106.4400,7.7500,15120.00,11,,,
05 May 2020,1040EFL29A,INE804IA7253,ECL FINANCE LIMITED,10.4000,28/11/2029,100.0000,100.0000,10.4000,100.00,1,,,
29 May 2020,00EFL24AA,INE804IA7238,ECL FINANCE LIMITED,0.0000,28/11/2024,107.3398,104.8900,10.6400,13875.00,34,,,
29 Apr 2020,1020EFL23,INE804IA7196,ECL FINANCE LIMITED,10.2000,28/02/2023,100.4095,100.4100,11.5000,300.00,2,,,
29 Apr 2020,990EFL21,INE804IA7170,ECL FINANCE LIMITED,9.9000,28/11/2021,97.3420,97.3400,11.7300,150.00,1,,,
29 Apr 2020,995EFL24A,INE804IA7105,ECL FINANCE LIMITED,9.9500,23/05/2024,96.4650,96.6300,11.5400,650.00,3,,,
20 Apr 2020,1060EFL29,INE804IA7022,ECL FINANCE LIMITED,10.6000,17/01/2029,95.0359,95.0400,11.5000,200.00,1,,,
20 Apr 2020,1015EFL29,INE804IA7014,ECL FINANCE LIMITED,10.1500,17/01/2029,95.5574,95.5600,11.5000,200.00,1,,,
15 May 2020,1025ECLFINPERP,INE804I08734,ECL FINANCE LIMITED,10.2500,31/12/9999,89.8806,89.8800,12.5000,50.00,1,,,
13 May 2020,980ECL20,INE804I07I48,ECL FINANCE LIMITED,9.8000,31/12/2020,95.4123,95.8800,16.1200,3240.00,10,,,
23 Mar 2020,985EFL28,INE804I079Y6,ECL FINANCE LIMITED,9.8500,06/08/2028,100.0000,100.0000,9.8500,120.00,10,,,
